folder_name,site,image_name,species,year,fish_area,ac_area,ac_ratio,fl,weight,sex,ac_ratio_old,,,
SZ,SZ,P8210086.jpg,DV,1+,641138,63749,0.099431012,134,22.3,3,0.080878064,,,
SZ,SZ,P8210088.jpg,WSC,0+,283180,61655,0.217723709,77,5.3,3,0.233487534,,,
SZ,SZ,P8210090 .jpg,WSC,0+,358760,50106,0.1396644,77,4.6,2,0.139639313,,,
SZ,SZ,P8210093.jpg,WSC,0+,263273,14356,0.054528949,68,3.1,2,0.06088357,,,
SZ,SZ,P8210096.jpg,WSC,1+,558000,65968,0.118222222,119,15.7,2,0.170575269,,,
SZ,SZ,P8210099.jpg,WSC,1+,521811,60205,0.115377023,125,19,2,0.132981099,,,
SZ,SZ,P8210102.jpg,WSC,0+,271260,9148,0.033724102,63,2.7,3,0.083270663,,,
SZ,SZ,P8210104.jpg,WSC,1+,565913,150248,0.26549664,104,11.7,2,0.25831179,,,
SZ,SZ,P8210107.jpg,WSC,1+,647016,29757,0.045991135,131,22.7,,0.067823671,,,
SZ,SZ,P8219975.jpg,WSC,0+,204853,15403,0.075190502,71,3.3,,0.115331482,,,
SZ,SZ,P8219979.jpg,WSC,0+,292354,19730,0.067486677,81,5.5,,0.114262162,,,
SZ,SZ,P8219983.jpg,WSC,1+,721675,214835,0.297689403,144,33.2,3,0.281417536,,,
SZ,SZ,P8219985.jpg,DV,1+,482277,19472,0.040375137,126,19.7,2,0.047398072,,,
SZ,SZ,P8219989.jpg,WSC,0+,236905,30266,0.127755852,76,4.5,,0.14047403,,,
SZ,SZ,P8219993.jpg,WSC,0+,243165,13230,0.054407501,69,3,,0.035206547,,,
SZ,SZ,P8219996.jpg,WSC,1+,761569,173857,0.228287916,158,46.2,3,0.243362059,,,
SZ,SZ,P8219998.jpg,WSC,1+,526452,119714,0.227397749,119,15.2,3,0.214862893,,,
T49,T49,P8220461.jpg,DV,2+,524209,29131,0.055571347,115,14.3,2,0.054840722,,,
T49,T49,P8220463.jpg,DV,2+,635089,6797,0.010702437,130,22.1,3,0.013072184,,,
T49,T49,P8220465.jpg,DV,2+,608217,34420,0.056591644,127,19,2,0.112954751,,,
T49,T49,P8220467.jpg,DV,2+,916418,166449,0.181629999,144,31.4,3,0.22672405,,,
T49,T49,P8220469.jpg,DV,2+,854582,48199,0.056400673,115,15.6,3,0.053166343,,,
T49,T49,P8220471.jpg,DV,2+,419894,38511,0.091716005,125,20.1,2,0.080053537,,,
T49,T49,P8220473.jpg,WSC,1+,729090,172400,0.236459148,161,43.3,3,0.225356266,,,
T49,T49,P8220475.jpg,WSC,1+,660240,189273,0.286673028,125,18.7,2,0.306873258,,,
T49,T49,P8220477.jpg,DV,2+,601571,99438,0.165297197,105,13.3,3,0.155361545,,,
T49,T49,P8220479.jpg,DV,2+,565851,22688,0.040095361,102,9.5,3,0.047613241,,,
T49,T49,P8220481.jpg,WSC,0+,449730,14184,0.031538923,74,4.1,2,0.03323105,,,
T49,T49,P8220483.jpg,WSC,0+,580423,40087,0.069065147,75,4.2,,0.09056843,,,
T49,T49,P8220485.jpg,DV,2+,720901,9984,0.013849336,115,14.2,2,0.019784964,,,
T49,T49,P8220487.jpg,WSC,1+,658042,160843,0.244426648,134,24.1,2,0.256801238,,,
T49,T49,P8220489.jpg,DV,2+,724988,34051,0.046967674,115,15.1,2,0.114452929,,,
T49,T49,P8220491.jpg,WSC,1+,749407,125088,0.166915975,148,34.3,3,0.229856406,,,
T49,T49,P8220493.jpg,DV,2+,788840,42047,0.053302317,116,14.3,2,0.059241418,,,
T49,T49,P8220495.jpg,DV,2+,628465,125307,0.199385805,110,12.2,2,0.22937952,,,
T49,T49,P8220497.jpg,WSC,0+,428465,41856,0.097688259,68,3.2,2,0.1344964,,,
T49,T49,P8220499.jpg,WSC,1+,825827,384788,0.465942625,156,43.3,3,0.420440359,,,
T49,T49,P8220501.jpg,DV,2+,915481,71432,0.078026742,146,30.8,2,0.106602977,,,
T49,T49,P8220503.jpg,WSC,1+,800441,40400,0.050472177,187,69.9,3,0.069611627,,,
T49,T49,P8220505.jpg,WSC,1+,784772,312465,0.39816023,136,28.1,3,0.379580311,,,
T49,T49,P8220507.jpg,DV,2+,708422,41856,0.059083428,104,12.8,3,0.067115363,,,
T49,T49,P8220509.jpg,DV,2+,892089,33619,0.037685702,109,13.3,2,0.046120959,,,
T49,T49,P8220511.jpg,WSC,0+,494084,22427,0.045391067,76,4.4,,0.085102938,,,
T49,T49,P8220513.jpg,WSC,1+,764232,292846,0.383189921,135,24.6,3,0.335497598,,,
T49,T49,P8220515.jpg,WSC,0+,584779,20929,0.035789589,78,4.8,3,0.057743182,,,
T49,T49,P8220517.jpg,DV,2+,761200,106190,0.139503416,163,43.3,3,0.142457961,,,
T49,T49,P8220519.jpg,DV,2+,736077,43742,0.059425848,104,11.1,3,0.054332631,,,
T49,T49,P8220521.jpg,WSC,1+,922596,220702,0.239218466,167,46.1,2,0.263019783,,,
T49,T49,P8220523.jpg,DV,2+,766434,62465,0.081500821,142,37.3,2,0.095250211,,,
T49,T49,P8220525.jpg,DV,2+,861696,321353,0.372930825,168,49.2,2,0.3278929,,,
T49,T49,P8220527.jpg,WSC,1+,576218,118199,0.205128962,108,13.6,2,0.209453714,,,
T49,T49,P8220529.jpg,WSC,1+,902590,152891,0.169391418,151,35.4,2,0.189424877,,,
T49,T49,P8220531.jpg,DV,2+,803324,29746,0.037028646,127,21.3,3,0.049381072,,,
T49,T49,P8220533.jpg,DV,2+,922078,42567,0.046164207,146,39.7,2,0.054487798,,,
T49,T49,P8220535.jpg,DV,2+,818177,90982,0.111200877,128,21.7,3,0.136912917,,,
T49,T49,P8220537.jpg,DV,2+,694781,37995,0.054686297,122,18.5,2,0.06233475,,,
T49,T49,P8220539.jpg,WSC,1+,664087,137155,0.206531674,145,27.6,2,0.183608473,,,
T49,T49,P8220541.jpg,DV,2+,926722,24051,0.025952767,147,34.5,2,0.046211269,,,
T49,T49,P8220543.jpg,DV,2+,842973,204240,0.24228534,105,11.7,2,0.192249337,,,
T49,T49,P8220545.jpg,DV,2+,695718,7041,0.01012048,104,10.5,2,0.024584674,,,
T49,T49,P8220547.jpg,DV,2+,780859,249315,0.319282995,184,60.3,2,0.316601333,,,
T49,T49,P8220549.jpg,WSC,1+,660944,187852,0.284217725,132,21.5,2,0.291752403,,,
T49,T49,P8220551.jpg,DV,2+,692365,37338,0.053928203,104,12.5,2,0.059393528,,,
T49,T49,P8220553.jpg,DV,2+,625122,61944,0.099091057,101,9.1,2,0.104110878,,,
T49,T49,P8220555.jpg,WSC,0+,540211,72713,0.13460111,86,6.2,3,0.193137496,,,
T49,T49,P8220557.jpg,DV,2+,912362,259211,0.284109816,135,22.5,2,0.215209533,,,
T49,T49,P8220559.jpg,DV,2+,911930,326781,0.358340004,152,31.4,2,0.255072209,,,
T49,T49,P8220561.jpg,DV,2+,916054,243380,0.265683027,149,33.5,3,0.204715006,,,
T49,T49,P8220563.jpg,WSC,1+,744708,79341,0.106539744,155,36.3,3,0.184432019,,,
T49,T49,P8220565.jpg,DV,2+,896909,270103,0.301148723,106,12.1,2,0.205485729,,,
T49,T49,P8220568.jpg,WSC,1+,731822,250382,0.342135109,134,24.1,2,0.330982124,,,
